2016-05-12T00:00:00Z,Blaming the Chief Justice,By LINDA GREENHOUSE,"Even before the Trump-focused accusations started, Roberts was well on his way to becoming the political right’s favorite punching bag."
2016-05-11T17:27:29Z,"Aetna Plans to Remain in Obamacare Markets, May Expand",By REUTERS,"Health Insurer Aetna Inc on Wednesday said it plans to  continue its Obamacare health insurance business next year in the 15 states where it now participates, and may expand to a few additional states."
2016-05-07T00:00:00Z,Get Ready for Higher Obamacare Rates Next Year,By MARGOT SANGER-KATZ,"Prices seem likely to rise, for a number of reasons. But don’t assume it means the Affordable Care Act is a failure."
2016-05-05T06:08:43Z,10 Things to Know for Today,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about today:"
2016-05-05T03:40:53Z,"Stirred by Sanders, Democrats Shift Left on Health Care",By THE ASSOCIATED PRESS,"More Democrats seem to be having doubts about the federal health care law, a contentious issue for most of President Barack Obama's tenure and one of the defining elements of his legacy."
2016-05-05T03:37:06Z,"How Trump Broke the Rules of Modern Politics, and Won Anyway",By THE ASSOCIATED PRESS,Polling? Who needs to do that? Fundraising? Can't be bothered. Parse your words? Fuhgetabout it.
2016-05-04T15:40:16Z,"How Trump Broke the Rules of Modern Politics, and Won Anyway",By THE ASSOCIATED PRESS,Polling? Who needs to do that? Fund-raising? Can't be bothered. Parse your words? Fuhgetabout it.
2016-05-04T00:00:00Z,Trump and the Lord’s Work,By THOMAS L. FRIEDMAN,"To get the nation’s politics unstuck, the intransigent version of the Republican Party had to be destroyed."
2016-05-03T00:00:00Z,Missing From Medicare Advantage: True Competition,By AUSTIN FRAKT,"If past efforts are any guide, a White House proposal to inject competition and save billions is doomed."
2016-05-02T19:44:12Z,Tenet Sees Competitors Picking Up UnitedHealth Exchange Business,By REUTERS,"Tenet Healthcare Corp, the third-largest U.S. for-profit hospital operator, expects other insurers to step in and absorb UnitedHealth Group Inc's share of the exchange market when the largest U.S. health insurance provider exits that business, company executives said on Monday."
2016-05-02T06:05:54Z,Indiana Puts Donald Trump&#8217;s Evangelical Support to Test,By REUTERS,Donald Trump's success in the race for the White House may well depend on the support of Republican evangelicals suspicious of the front-runner's more liberal side as he discloses his social views.
2016-05-01T00:00:00Z,President Obama Weighs His Economic Legacy,By ANDREW ROSS SORKIN,"Eight years after the financial crisis, unemployment is at 5 percent, deficits are down and G.D.P. is growing. Why do so many voters feel left behind? The president has a theory."
2016-04-30T00:00:00Z,What It’s Like to Write Jokes for President Obama,By DAVID LITT,"He’s a natural comedian, and his administration knows how to use that."
2016-04-29T00:00:00Z,Colorado Weighs Replacing Obama’s Health Policy With Universal Coverage,By JACK HEALY,A ballot measure has put conservative critics in the unusual position of defending the Affordable Care Act against an assault from the left.
2016-04-28T16:36:19Z,"House Votes to Repeal U.S. Retirement Rule, Obama Threatens Veto",By REUTERS,"The U.S. House of Representatives voted on Thursday to repeal a Labor Department rule aimed at protecting retirement savers from profit-hungry brokers, a largely symbolic move that President Barack Obama has threatened to veto."
2016-04-28T12:57:00Z,The Idea of Trump&#8217;s Electability,By ROSS DOUTHAT,
2016-04-28T03:42:46Z,Significant Premium Hikes Expected Under Obama Health Law,By THE ASSOCIATED PRESS,Insurers will seek significant premium hikes under President Barack Obama's health care law this summer - stiff medicine for consumers and voters ahead of the national political conventions.
2016-04-27T20:09:02Z,Ryan Wants to End Obamacare Cost Protections for Sick Consumers,By REUTERS,"U.S. House of Representatives Speaker Paul Ryan called on Wednesday for an end to Obamacare's financial protections for people with serious medical conditions, saying these consumers should be placed in state high-risk pools. "
2016-04-25T11:49:15Z,A Note on the Soda Tax Controversy,By PAUL KRUGMAN,
2016-04-22T00:00:00Z,"Ted Cruz Ad Says Donald Trump Is an Elite, Just Like Hillary Clinton",By NICK CORASANITI,"The Pennsylvania advertisement is a multilayered criticism of Mr. Trump and Mrs. Clinton, painting them as not understanding “working-class families.”"
2016-04-21T00:00:00Z,The Democrats After Sanders,By ROSS DOUTHAT,The next generation has ambitious ideas to stamp a thorough left-wing party. Can it build one?
2016-04-21T00:00:00Z,Obamacare Seems to Be Reducing People’s Medical Debt,By MARGOT SANGER-KATZ,A study builds on earlier evidence that offering the poor health insurance helps them avoid financial shocks.
2016-04-20T05:30:32Z,Dr. Thomas Farley Takes on Big Food and Big Tobacco,By ANAHAD O'CONNOR,
2016-04-19T18:32:18Z,UnitedHealth's Obamacare Exit Adds Pricing Pressure on Rivals,By REUTERS,"UnitedHealth Group Inc's decision to exit most of its Obamacare health insurance exchanges next year means rivals will need to raise prices further to prop up an unprofitable business, healthcare analysts and policy experts said on Tuesday."
2016-04-19T12:45:26Z,UnitedHealth Plans to Exit Obamacare Exchanges,By REUTERS,"U.S. health insurer UnitedHealth Group Inc on Tuesday said it would largely exit the Obamacare individual insurance market in 2017, citing expectations for mounting losses from the program."
2016-04-18T13:04:02Z,Obamacare’s Striking Effect on America’s Least Fortunate,By VIKAS BAJAJ,
2016-04-18T00:00:00Z,What Should We Expect From the Supreme Court’s Showdown Over Immigration?,By EMILY BAZELON and ERIC POSNER,"Emily Bazelon and Eric Posner discuss the possible decisions, and their consequences, in United States v. Texas."
2016-04-18T00:00:00Z,"Immigrants, the Poor and Minorities Gain Sharply Under Affordable Care Act",By SABRINA TAVERNISE and ROBERT GEBELOFF,"Hispanics — a demographic coveted by both political parties in this election year — accounted for nearly a third of the increase in adults with insurance, according to a New York Times analysis."
2016-04-16T00:00:00Z,News About Obamacare Has Been Bad Lately. How Bad?,By REED ABELSON and MARGOT SANGER-KATZ,"Two Times reporters, Reed Abelson and Margot Sanger-Katz, talk about the Affordable Care Act’s recent setbacks and future."
2016-04-15T00:00:00Z,Transcript: Democratic Presidential Debate in Brooklyn,By REED ABELSON and MARGOT SANGER-KATZ,"Following is a transcript of the Democratic debate, as transcribed by the Federal News Service."
2016-04-14T22:11:11Z,Hillary Clinton and Bernie Sanders Go on the Attack in Democratic Debate,By NICHOLAS KRISTOF,
2016-04-11T17:12:45Z,Backers Fight for Children's Health Insurance in Arizona,By THE ASSOCIATED PRESS,"A fight is intensifying in the Arizona Legislature over the Senate leader's refusal to restore a program providing health insurance to poor children, a stance that would maintain the state's position as the only one in the nation that doesn't participate in the plan."
2016-04-11T07:32:12Z,The Obamacare Replacement Mirage,By PAUL KRUGMAN,
2016-04-11T00:00:00Z,Why Do Some Vote Against Their Best Interests?,By PAUL KRUGMAN,"A Democratic state representative in New Hampshire is puzzled, and recounts a telling anecdote."
2016-04-09T00:00:00Z,Donald Trump’s Health Care Ideas Bewilder Republican Experts,By ROBERT PEAR and MAGGIE HABERMAN,"Some call his proposals an incoherent mishmash that could hurt millions of newly insured people, but such criticism appears only to bolster his outsider status."
2016-04-08T00:00:00Z,"Your Friday Evening Briefing: Pope Francis, Brussels, Bill Clinton",By ANDREA KANNAPELL and SANDRA STEVENSON,Here’s what you need to know at the end of the day.
2016-04-06T00:00:00Z,Donald Trump’s Rise Shows Religion Is Losing Its Political Power,By EDUARDO PORTER,"Mr. Trump’s campaign suggests that an alignment of interests on the right, entwining religious fervor with free market economics, is fraying."
2016-04-05T16:15:11Z,House Ethics Committee Continues Probe of Florida's Grayson,By REUTERS,"The ethics committee of the U.S. House of Representatives said on Tuesday it would continue to investigate possible conflicts of interest by Representative Alan Grayson, a Florida Democrat and liberal firebrand running for the Senate seat soon to be vacated by Marco Rubio.     "
2016-04-05T03:41:54Z,"GOP Appeal to Conservatives With Health Care, Immigrant Cuts",By THE ASSOCIATED PRESS,"Trying to win over conservatives, House Republicans are sweetening their budget proposal by putting several programs on the chopping block, including President Barack Obama's health care law and tax credits for children of immigrants living in the country illegally."
2016-04-01T00:00:00Z,Learning From Obama,By PAUL KRUGMAN,"The president has had a lot of success addressing America’s problems, which may surprise many on the left and the right."
2016-04-01T00:00:00Z,New Health Insurance Customers Are Sicker. Should We Be Surprised?,By MARGOT SANGER-KATZ,"A new report seems to imply that the Obamacare markets are more troubled than expected, at least until you take a closer look."
2016-03-31T14:08:16Z,Obamacare on Track,By PAUL KRUGMAN,
2016-03-31T00:00:00Z,‘Bernie or Bust’ Is Bonkers,By CHARLES M. BLOW,Elections are not always between a dream candidate and a dreaded one. Sometimes they’re between common sense and catastrophe.
2016-03-30T18:31:52Z,The Pathos of Republican Reformers,By PAUL KRUGMAN,
2016-03-29T14:02:16Z,U.S. Top Court Seeks More Information in Contraception Insurance Case,By REUTERS,"The U.S. Supreme Court on Tuesday asked both sides for new information in a challenge by Christian nonprofit employers to a mandate under President Barack Obama's healthcare law to provide insurance to female workers covering birth control, indicating the justices are struggling to decide the closely watched case."
2016-03-28T00:00:00Z,Let Voters Decide the Court’s Future,By ORRIN G. HATCH,Voters elected a Republican Senate majority in 2014 in part to restrain the president’s judicial overreach.
2016-03-28T00:00:00Z,"On Campaign Trail, Republicans Tone Down Criticism of Obamacare",By ALBERT R. HUNT | BLOOMBERG VIEW,"The explanation may be that for all its controversy and imperfections, the sweeping law has taken hold."
2016-03-27T00:00:00Z,Who Is Ted Cruz?,By ROSS DOUTHAT,How a determined nerd ended up as Donald Trump’s last rival.
2016-03-25T03:33:03Z,"Factbox: 'Carpet-Bomb' ISIS, Audit the Fed. What a President Cruz Would Do",By REUTERS,Presidential candidate Ted Cruz says he is the most consistent conservative left in the Republican race.
2016-03-24T21:00:40Z,10 Things to Know for Friday,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about Friday:"
2016-03-24T20:59:28Z,"Factbox: 'Carpet-Bomb' ISIS, Audit the Fed. What a President Cruz Would Do",By REUTERS,Presidential candidate Ted Cruz says he is the most consistent conservative left in the Republican race.
2016-03-24T19:32:15Z,"Factbox-'Carpet-Bomb' ISIS, Audit the Fed. What a President Cruz Would Do",By REUTERS,U.S. presidential candidate Ted Cruz says he is the most consistent conservative left in the Republican race.
2016-03-24T00:00:00Z,How to Stop the Bouncing Between Insurance Plans Under Obamacare,By DHRUV KHULLAR,"Millions of Americans move back and forth between Medicaid and the insurance marketplace, inconveniencing patients and costing taxpayers."
2016-03-23T00:13:33Z,Supreme Court Faces 4-4 Split in Obamacare Contraception Case,By REUTERS,The Supreme Court on Wednesday headed toward a possible 4-4 split over a legal challenge by Christian nonprofit employers who object to providing female workers insurance covering birth control as required by President Barack Obama's healthcare law.
2016-03-22T16:48:11Z,Political Substance Abuse: Donald Trump’s Washington Press Conference,By ELIZABETH WILLIAMSON,
2016-03-22T00:00:00Z,What Are We Voting For?,ARTHUR C. BROOKS and GAIL COLLINS,"Arthur C. Brooks and Gail Collins trade ideas on health care and economics — and how these issues play out for Clinton, Trump and Sanders."
2016-03-22T00:00:00Z,Why Sanders Trails Clinton Among Minority Voters,By NOAM SCHEIBER,One reason for Bernie Sanders’s gap among African-Americans is that they have more favorable impressions of the economy.
2016-03-21T11:29:46Z,This Week’s Most Sensible Comment by a Republican,By ANDREW ROSENTHAL,
2016-03-21T10:44:07Z,"Health Insurance Gains Due to Obama's Law, Not Economy",By THE ASSOCIATED PRESS,"There's growing evidence that most of the dramatic gain in the number of Americans with health care coverage is due to President Barack Obama's law, and not the gradual recovery of the nation's economy."
2016-03-21T00:00:00Z,Will a Liberal Supreme Court Limit Money in Politics?,By MARK SCHMITT,"Instead of rolling back Citizens United, we should seek to make it easier for people without wealth to run and be heard."
2016-03-20T08:06:02Z,Scalia Death a Blow to Obamacare Contraception Challengers,By REUTERS,Christian groups asking the U.S. Supreme Court to exempt them from the requirement to provide insurance covering contraception under President Barack Obama's healthcare law face an uphill battle following Justice Antonin Scalia's death last month.
2016-03-20T00:00:00Z,What Do You Need to Do to Be a Supreme Court Justice?,By IAN MILLHISER,There’s a very narrow path to the highest court in the land.
2016-03-19T00:00:00Z,‘Obama Wins Either Way’: Our Best Comments of the Week,By LELA MOORE and SONA PATEL,"“Donald Trump is a kind of political Dr. Phil.” Readers react to the presidential primary results and the new Supreme Court nominee, Merrick Garland."
2016-03-18T16:53:54Z,"Factbox: Build a Giant Wall, Cut Education Department. What a President Trump Would Do",By REUTERS,Presidential candidate Donald Trump has been accused by some in his Republican Party of being vague on policy specifics and heavy on rhetoric.
2016-03-17T14:46:24Z,Graham Offers Tepid Endorsement of Cruz as Trump Alternative,By THE ASSOCIATED PRESS,Sen. Lindsey Graham said Thursday that he'll help Ted Cruz raise campaign cash in the hope of stopping Donald Trump's march toward the Republican presidential nomination.
2016-03-17T14:31:51Z,Ted Cruz Wins Support of Senator Lindsey Graham in Anti-Trump Move,By MATT FLEGENHEIMER and EMMARIE HUETTEMAN,
2016-03-17T00:00:00Z,‘Big Government’ Looks Great When There Is None,By NICHOLAS KRISTOF,What Republican candidates consider an American weakness seems like a strength when viewed from South Sudan.
2016-03-16T16:54:25Z,The Candidates and the Constitution,By TERESA TRITCH,
2016-03-16T04:23:28Z,Deficit-Slashing Plan Advances Through House Panel,By THE ASSOCIATED PRESS,"A key House panel on Wednesday approved a GOP plan to eliminate the federal budget deficit without tax increases demanded by Democrats, relying on sharp cuts to federal health care programs, government aid to the poor, and hundreds of domestic programs supported by lawmakers in both parties."
2016-03-16T00:00:00Z,"Lin-Manuel Miranda, ‘Hamilton’ Creator, Freestyles for Obama",By DANIEL VICTOR,"The show’s creator and star rapped about all things governmental, with an assist from the president."
2016-03-14T00:00:00Z,Carson Endorses the Demagogue,By CHARLES M. BLOW,The former candidate’s backing of Donald Trump shows that his calls for civility were hollow.
2016-03-12T16:00:24Z,Trump Rally Violence Offers Kasich Fresh Chance for Contrast,By THE ASSOCIATED PRESS,"John Kasich on Saturday delivered his harshest criticism yet of Donald Trump, saying he's ""had it"" with the ""toxic"" nature of Trump's campaign and suggesting he may not support the businessman should he become the Republican nominee."
2016-03-11T00:00:00Z,Transcript of the Republican Presidential Debate in Florida,By THE ASSOCIATED PRESS,"Following is a transcript of the Republican debate, as transcribed by the Federal News Service."
2016-03-10T15:26:17Z,Top Republican Unveils $98B in Cuts to Social Programs,By THE ASSOCIATED PRESS,A senior House Republican on Thursday reprised a proposal to cut child tax credits for immigrants working in the U.S. illegally.
2016-03-10T00:00:00Z,Medicare Tries an Experiment to Fight Perverse Incentives,By MARGOT SANGER-KATZ,The current system creates incentives for doctors to choose the medication or treatment with a higher price. Medicare is going to try a new approach.
2016-03-10T00:00:00Z,Transcript of the Democratic Presidential Debate in Miami,By MARGOT SANGER-KATZ,"Following is a transcript of the Democratic debate, as transcribed by the Federal News Service."
2016-03-09T00:00:00Z,Only Trump Can Trump Trump,By THOMAS L. FRIEDMAN,"Donald Trump’s opponents foolishly think they can break his bond with voters by giving them facts, but his supporters are following their gut."
2016-03-08T17:01:18Z,What We&#8217;re Reading,By THE NEW YORK TIMES,
2016-03-07T00:00:00Z,"Medical Ads Here, There, Everywhere",By THE NEW YORK TIMES,Readers note that expensive options are often not needed.
2016-03-05T00:00:00Z,The War Within the Republican Party,By THE NEW YORK TIMES,Readers discuss Mitt Romney’s denunciation of Donald Trump and the latest G.O.P. slugfest.
2016-03-05T00:00:00Z,Jobs Report Shows Brisk U.S. Hiring in February,By PATRICIA COHEN,"The government said employers added 242,000 workers last month, highlighting the labor market’s steady gains. Unemployment remained at 4.9 percent."
2016-03-04T12:48:46Z,Obama Cheers Economy as 'Pretty Darn Great',By THE ASSOCIATED PRESS,"Once reluctant to hype the U.S. economy's slow climb out of recession, President Barack Obama now is in cheerleader mode."
2016-03-04T11:52:25Z,AP FACT CHECK: Claims From a Trumpish Debate,By THE ASSOCIATED PRESS,"One way or another, the 11th Republican presidential debate was pretty much all about Donald Trump &#8212; his shifts on positions, the gaps in his policies, his defunct university, his character and some rather personal chatter about the man."
2016-03-04T00:00:00Z,Transcript of the Republican Presidential Debate in Detroit,By THE ASSOCIATED PRESS,"Following is a transcript of the 11th G.O.P. debate, prepared by the Federal News Service. Just four candidates were on the stage for the event."
2016-03-04T00:00:00Z,Donald Trump’s Talk on Health Care Is Not Matched by His Plan,By MARGOT SANGER-KATZ,The proposal would wipe out protections for those with pre-existing conditions and end coverage for the poor in many states.
2016-03-04T00:00:00Z,Transcript of Mitt Romney’s Speech on Donald Trump,By MARGOT SANGER-KATZ,"The following is a transcript of Mitt Romney’s remarks addressing the candidacy of Donald J. Trump, as transcribed by the Federal News Service."
2016-03-04T00:00:00Z,Obama Says Enrollment in Affordable Care Act Reaches 20 Million,By GARDINER HARRIS,The president went to Milwaukee to highlight the success of health care coverage under the act.
2016-03-03T22:15:50Z,AP FACT CHECK: Claims From the GOP Debate,By THE ASSOCIATED PRESS,"On taxes, trade and drug prices, viewers of the latest Republican debate didn't get a straight story. And Donald Trump spun fiction about 9/11."
2016-03-03T16:17:48Z,Obama: 20 Million Americans Insured Thanks to 'Obamacare',By REUTERS,"President Barack Obama said on Thursday that some 20 million Americans had become insured as a result of the Affordable Care Act, his signature healthcare law also known as ""Obamacare."""
2016-03-03T13:23:26Z,Does Trump Have a Health Care Plan? Does It Matter?,By THE ASSOCIATED PRESS,"Donald Trump's evolving ideas on health care do not amount to a full plan, and some proposals could mean new political and policy dilemmas for the Republican presidential front-runner and his party."
2016-03-03T12:35:43Z,Mitt Romney Speech Slamming Donald Trump,By REUTERS,The following is the full text of the speech delivered on Thursday by former Massachusetts Governor and 2012 Republican nominee for U.S. president Mitt Romney to the Institute of Politics at the University of Utah.
2016-03-03T12:22:38Z,Text: Mitt Romney Speech Slamming Donald Trump,By REUTERS,The following is the full text of the speech delivered on Thursday by former Massachusetts Governor and 2012 Republican nominee for U.S. president Mitt Romney to the Institute of Politics at the University of Utah.
2016-03-03T09:57:02Z,The Latest: The Latest From the GOP Presidential Debate,By THE ASSOCIATED PRESS,"The Latest on the 2016 presidential race, which includes a Republican debate on Thursday night in Detroit (all times EST):"
2016-03-03T03:49:07Z,Obama Cites Gains in Health Coverage During Milwaukee Visit,By THE ASSOCIATED PRESS,President Barack Obama trumpeted the nation's declining uninsured rate Thursday and said 20 million people have gained insurance as a result of his signature health care law as he commemorated the approaching sixth anniversary of the Affordable Care Act.
2016-03-03T02:47:41Z,Republican Trump Releases Healthcare Proposals,By REUTERS,"U.S. Republican presidential front-runner candidate Donald Trump on Wednesday unveiled proposals for reforming U.S. healthcare that included repealing Obamacare, allowing prescription drugs to be imported, and turning the Medicaid program for the poor into block grants to states."
2016-03-03T00:00:00Z,Debate Prep: Fact-Checking the G.O.P. Candidates on Health Care,By MARGOT SANGER-KATZ,All the candidates want to replace Obamacare but are thin on details.
2016-03-02T20:53:42Z,U.S. Republican Trump Releases Healthcare Proposals,By REUTERS,"U.S. Republican presidential front-runner candidate Donald Trump on Wednesday unveiled proposals for reforming U.S. healthcare that included repealing Obamacare, allowing prescription drugs to be imported, and turning the Medicaid program for the poor into block grants to states."
2016-03-02T13:39:07Z,"Ted Cruz’s Victory Speech: F.D.R., J.F.K. and L.O.L.",By LAWRENCE DOWNES,
2016-03-02T00:45:42Z,"Factbox-Build a Giant Wall, Cut Education Department. What a President Trump Would Do",By REUTERS,"Republican presidential candidate Donald Trump, who scored a major victory in a series of Super Tuesday nominating contests, has been criticized by some in his party for being vague on policy specifics and heavy on rhetoric."
2016-03-02T00:34:07Z,"Carson Signals Exit, U.S. Republicans Grapple With Trump Victories",By REUTERS,"Retired neurosurgeon Ben Carson signaled on Wednesday he was quitting the Republican presidential race, leaving three candidates facing Donald Trump as the party establishment struggled to find a way to halt the outspoken businessman."
2016-03-02T00:00:00Z,Beware: Exploding Politics,By THOMAS L. FRIEDMAN,We have a system that incentivizes polarization and prevents hybrid solutions.
2016-03-02T00:00:00Z,Why Trump Now?,By THOMAS B. EDSALL,What made it all come together for the Republican presidential frontrunner in 2016.
2016-02-29T04:41:52Z,"GOP Badly Split as Trump, Clinton Seek Super Tuesday Wins",By THE ASSOCIATED PRESS,"On the eve of Super Tuesday's crucial primaries, a sharp new divide erupted between Republicans who pledge to fall in line behind Donald Trump if he wins their party's nomination and others who insist they can never back the bombastic billionaire."
2016-02-29T00:00:00Z,"Clinton, Sanders and the Fight Over Obama’s Legacy",By JOY-ANN REID,A call for ‘revolution’ can read as a rebuke of the president.
2016-02-27T00:00:00Z,Trump Meets the Mean Boys,By GAIL COLLINS,The key to a successful debate: Avoid discussions of actual policy and concentrate on inflicting death by insult.
2016-02-26T16:43:40Z,"Before There Was Trump, There Was Gingrich",By TERESA TRITCH,
2016-02-26T04:09:21Z,AP FACT CHECK: Trump Objects to Cursing,By THE ASSOCIATED PRESS,"Donald Trump, offended by coarse language?"
2016-02-26T01:06:31Z,"In Florida, Donald Trump Has a Model for Success",By REUTERS,The pundits said he never had a chance: He was a high-powered U.S. businessman who had never run for office. He largely financed his own campaign. He took a hard line on illegal immigration and Obamacare. His attacks on Islam were controversial.
2016-02-26T00:00:00Z,Transcript of the Republican Presidential Debate in Houston,By REUTERS,"Following is a transcript of the 10th Republican debate, as transcribed by the Federal News Service."
2016-02-26T00:00:00Z,What You Missed in the Debate,By NICK CORASANITI,"With less than a week to go before Super Tuesday, the remaining Republican presidential candidates gathered to debate in Houston."
2016-02-25T22:09:53Z,Donald Trump Is Focus of Attacks in the Republican Debate,By NICHOLAS KRISTOF,
2016-02-25T22:09:38Z,AP FACT CHECK: Trump Objects to Cursing,By THE ASSOCIATED PRESS,"Donald Trump, offended by coarse language?"
2016-02-25T06:09:56Z,"Rubio, Cruz Go on Attack Against Trump at Debate",By REUTERS,"Republican rival Marco Rubio attacked front-runner Donald Trump at length for the first time at a debate on Thursday, targeting his wealth and absence of detailed policy plans to try to thwart the billionaire from making massive gains next week in the presidential race."
2016-02-25T03:43:31Z,AP-GfK Poll: Doubts on Sanders 'Medicare for All' Plan,By THE ASSOCIATED PRESS,"At first, many Americans like the idea of ""Medicare for all,"" a cradle-to-grave government-run health system that's a rallying cry for Democratic presidential candidate Bernie Sanders."
2016-02-25T00:00:00Z,The Secret Side of Donald Trump,By GAIL COLLINS,A never-ending search for the least-bad Republican.
2016-02-24T15:50:22Z,"Donald Trump, Addressing Evangelicals, Questions John Kerry&#8217;s Familiarity With the Bible",By ASHLEY PARKER,
2016-02-24T10:40:50Z,House Republicans Ready Legal Fight Against Obama's Guantanamo Plan,By REUTERS,"Republicans in the House of Representatives are preparing legal action in case President Barack Obama tries to transfer detainees at the military prison at Guantanamo Bay to the United States, House Speaker Paul Ryan said on Wednesday."
2016-02-24T08:50:34Z,The Latest: Rubio Attacks Trump by Name Ahead of Debate,By THE ASSOCIATED PRESS,The Latest on the 2016 presidential campaign a day before the Republican presidential debate and ahead of Saturday's Democratic presidential primary in South Carolina (all times local):
2016-02-24T04:21:11Z,Probe: HealthCare.gov 'Passive' on Heading Off Fraud,By THE ASSOCIATED PRESS,"With billions in taxpayer dollars at stake, the Obama administration has taken a ""passive"" approach to identifying potential fraud involving the president's health care law, nonpartisan congressional investigators say in a report released Wednesday."
2016-02-24T00:00:00Z,The Devil in Ted Cruz,By FRANK BRUNI,He makes angelic claims about his conduct and campaign. But he’s diabolically hypocritical.
2016-02-24T00:00:00Z,Nudges Aren’t Enough for Problems Like Retirement Savings,By EDUARDO PORTER,"Ideas drawn from psychology are helping Americans make better economic choices, but they fail to address problems in areas like retirement savings."
2016-02-23T18:13:51Z,Carson Questions Obama Blackness in Fading Campaign,By THE ASSOCIATED PRESS,Ben Carson is trying to reinvigorate his campaign for Republican presidential nomination by becoming the latest to question Barack Obama's blackness ahead of critical upcoming votes.
2016-02-23T14:12:23Z,Rubio-Kasich Revisited,By ROSS DOUTHAT,
2016-02-23T00:00:00Z,The Winnowing of the Republican Field,By ROSS DOUTHAT,"After Jeb Bush’s departure, readers discuss Donald Trump’s appeal and compare Ted Cruz and Marco Rubio."
2016-02-22T12:47:25Z,"Health Care Issue, Longtime Uniter of Democrats, Now Divides",By THE ASSOCIATED PRESS,"Health care for all. It's a goal that tugs at the heartstrings of Democrats, but pursuing it usually invites political peril."
2016-02-21T00:00:00Z,Is There Any Stopping Donald Trump?,By FRANK BRUNI,There was thought — and hope — that he’d fade. Think again.
2016-02-21T00:00:00Z,"Cruz and Rubio, Separated at Mirth",By FRANK BRUNI,"The two staunchly conservative senators are more alike than different. To watch them, you’d never know it."
2016-02-21T00:00:00Z,Letters: The Most Unkindest Cut,By FRANK BRUNI,"Readers respond to recent reviews of “Pogue’s Basics: Life,” Tessa Hadley’s “The Past” and more."
2016-02-20T00:00:00Z,Donald Trump in Triage Mode After Shocking Conservatives With Health Care Comments,By ALAN RAPPEPORT,"Up to now, Mr. Trump has been impervious to allegations of inconsistent policy positions."
2016-02-19T00:00:00Z,Varieties of Voodoo,By PAUL KRUGMAN,Bernie Sanders needs to get real about his economic program.
2016-02-19T00:00:00Z,Supreme Court Appointment Could Reshape American Life,By ADAM LIPTAK,An appointment by President Obama of a successor to Justice Antonin Scalia could set in motion a profound ideological shift on the court and create a new liberal majority.
2016-02-17T14:58:46Z,Ted Cruz Rebuffs Donald Trump Ad Lawsuit Threat,By MATT FLEGENHEIMER,
2016-02-16T15:37:09Z,"Cruz Tax Plan Would Slash U.S. Revenue, Favor Wealthy: Analysis",By REUTERS,"A tax plan proposed by Republican presidential candidate Ted Cruz would cut federal revenues by $8.6 trillion over 10 years, adding substantially to the debt, according to an analysis published on Tuesday by a nonpartisan research center. "
2016-02-16T11:36:31Z,The Latest: Donald Trump Rings Up 'Late Show',By THE ASSOCIATED PRESS,The Latest on campaign 2016 (all times local):
2016-02-16T00:00:00Z,"Recalling Scalia, a Literary Stylist Who Scorned ‘Jiggery-Pokery’",By JENNIFER SCHUESSLER,"Talking with Yury Kapgan, an intellectual-property lawyer who analyzed the justice’s prose in a journal article titled “Of Golf and Ghouls.”"
2016-02-15T22:25:52Z,November's Referendum on Justice,By JENNIFER SCHUESSLER,
2016-02-15T00:00:00Z,Liberal Love for Antonin Scalia,By JAMAL GREENE,He made constitutional theory sexy.
2016-02-14T00:00:00Z,Transcript of the Republican Presidential Debate,By JAMAL GREENE,"Following is a transcript of the Republican debate, as transcribed by the Federal News Service."
2016-02-13T18:34:49Z,U.S. Justice Scalia: Outspoken Conservative Stalwart,By REUTERS,"In almost 30 years on the bench of the U.S. Supreme Court Justice Antonin Scalia was strident, colorful, and most of all, conservative. That made him an unlikely buddy for fellow justice Ruth Bader Ginsburg."
2016-02-13T08:39:57Z,"The Latest: Cruz, Trump Offer Closing Arguments to SC",By THE ASSOCIATED PRESS,"The Latest on the 2016 presidential race, with the focus turning to South Carolina and the Republican debate on Saturday night (all times local):"
2016-02-13T00:00:00Z,"Antonin Scalia, Conservative Legal Giant",By ROSS DOUTHAT,"For his intellect and influence, he will be remembered as the most important Supreme Court justice of his era."
2016-02-12T12:44:12Z,"Tea Party Favorite Bets Cruz, Trump Coattails Can Beat Burr",By THE ASSOCIATED PRESS,"Two years after his loss to a Republican favored by party leaders in Washington, Greg Brannon is betting the popularity of outsiders like Ted Cruz and Donald Trump can sweep him to a U.S. Senate primary upset win."
2016-02-12T09:56:00Z,Obama Recites Love Poem to Wife on National Television,By THE ASSOCIATED PRESS,Someone call the fire department. It's about to get hot at the White House.
2016-02-12T04:02:38Z,Kasich Works to Assure South Carolina of Conservative Record,By THE ASSOCIATED PRESS,"An energized John Kasich heads into South Carolina's Republican presidential primary hoping to build on a strong showing in New Hampshire, but he's refusing to tailor or shift his message to fit the state's more conservative electorate."
2016-02-12T01:00:32Z,"Clinton, Sanders Clash Over Obama as They Vie for Minority Votes",By REUTERS,"Democratic presidential candidates Hillary Clinton and Bernie Sanders clashed sharply in a debate on Thursday over their support for President Barack Obama, with Sanders accusing Clinton of ""a low blow"" after she compared him to Republicans."
2016-02-12T00:00:00Z, Karl Rove Bamboozles the I.R.S. ,By THE EDITORIAL BOARD,Trying to portray sheer check-writing power as a “social welfare” benefit insults honest taxpayers.
